SHIPCODE,CATEGORYCODE,ITINERARYID,GUESTRATEAMOUNT,GOVTFEESANDTAXES,VOYAGE,CURRENCYCODE,TOUR_ID
AA,A,A5RS14,4999,0,X549A,USD,1.00
AA,A,A507SS,3349,0,X550,USD,1.00
AA,A,A507SS,3349,0,X550,USD,1.00
AA,A,A507NS,2199,0,X551,USD,1.00
AA,A,A507NS,2199,0,X551,USD,1.00
AA,A,A507NS,2199,0,X551,USD,1.00
AA,A,A5RS14,3349,0,X551A,USD,1.00
AA,A,A5RS14,3349,0,X551A,USD,1.00
AA,A,A507NS,2099,0,X557,USD,1.00
AA,A,A5RS14,4149,0,X557A,USD,1.00
AA,A,A5RS14,4149,0,X557A,USD,1.00
AA,A,A5RS14,4149,0,X557A,USD,1.00
AA,A,A5RS14,3699,0,X557A,USD,1.00
AA,A,A507SS,2299,0,X558,USD,1.00
AA,A,A507SS,2299,0,X558,USD,1.00
AA,A,A507SS,1999,0,X558,USD,1.00
AA,A,A507SS,1999,0,X558,USD,1.00
AA,A,A507SS,1999,0,X558,USD,1.00
AA,A,S5S18F,4149,0,X565,USD,1.00
AA,A,S5S18F,4149,0,X565,USD,1.00
AA,A,A507NS,2599,0,X557,USD,1.00
AA,A,A507NS,2599,0,X557,USD,1.00
AA,A,S6S38W,958700,111184,X613A,AUD,1.00
AA,A,S6S38W,958700,111184,X613A,AUD,1.00
AA,A,S5S14F,509880,48171,X568,CAD,1.00
AA,A,S5S14F,509880,48171,X568,CAD,1.00
AA,A,AN670S,393500,26036,X669,EUR,1.00
AA,A,S6S38W,667200,72698,X613A,EUR,1.00
AA,A,S6S38W,667200,72698,X613A,EUR,1.00
AA,A,S6S38W,667200,72698,X613A,EUR,1.00
AA,A,S6S38W,667200,72698,X613A,EUR,1.00
AA,A,AN670S,445600,32645,X657,USD,1.00
AA,A,A5RS14,504900,38041,X541A,USD,1.00
AA,A,A507SS,329400,24274,X558,GBP,1.00
AA,A,A507SS,329400,24274,X558,GBP,1.00
AA,A,S6S20W,551880,42025,X615A,CAD,1.00
AA,A,S6S20W,551880,42025,X615A,CAD,1.00
AA,A,A6RS14,547900,42863,X663A,USD,1.00
AA,A,A6RS14,547900,42863,X663A,USD,1.00
AA,A,A6RS14,547900,42863,X663A,USD,1.00
AA,A,AS607X,642570,40475,X656,CAD,1.00
AA,A,S6S14W,489800,60091,X613,AUD,1.00
AA,A,S6S14W,489800,60091,X613,AUD,1.00
AA,A,A5RS14,411000,25558,X549A,GBP,1.00
AA,A,A507SS,871957,22763,X538,USD,1.00
AA,A,S5S14F,424900,40143,X568,USD,1.00
AA,A,A6RS14,712900,49737,X657A,AUD,1.00
AA,A,A6RS14,517900,43271,X676A,USD,1.00
AA,A,A6RS14,517900,43271,X676A,USD,1.00
AA,A,A6RS14,517900,43271,X676A,USD,1.00
AA,A,AN670S,313200,26395,X651,EUR,1.00
AA,A,AN670S,373300,26258,X674,EUR,1.00
AA,A,AN670S,373300,26258,X674,EUR,1.00
AA,A,AS607X,482300,28689,X675,EUR,1.00
AA,A,AS607X,482300,28689,X675,EUR,1.00
AA,A,H6H18W,499900,22754,X621,USD,1.00
AA,A,AS607X,628700,35300,X673,USD,1.00
AA,A,A507NS,712900,43052,X539,AUD,1.00
AA,A,A507NS,712900,43052,X539,AUD,1.00
AA,A,A507SS,354200,22704,X550,EUR,1.00
AA,A,A5RS14,4249,0,X541A,USD,1.00
AA,A,A5RS14,4249,0,X541A,USD,1.00
AA,A,AS607X,598400,35654,X662,USD,1.00
AA,A,S6S34W,614900,64911,X613B,EUR,1.00
AA,A,A5RS14,431880,45994,X551A,CAD,1.00
AA,A,A5RS14,431880,45994,X551A,CAD,1.00
AA,A,AS607X,788700,41358,X662,AUD,1.00
AA,A,A5RS14,345700,25833,X551A,GBP,1.00
AA,A,A5RS14,345700,25833,X551A,GBP,1.00
AA,A,A507NS,438660,39975,X557,CAD,1.00
